""""," 29_医療･保健･社会保障･介護(百万円)"," 30_その他の公共サービス(百万円)"," 31_対事業所サービス(百万円)"," 32_対個人サービス(百万円)","33_事務用品(百万円)","34_分類不明(百万円)"," 内生部門計(A)(百万円)"
"01_農林水産業","2018.0","109.0","2.0","7012.0","0.0","1.0","83628.0"
"02_鉱業","4.0","0.0","1.0","-2.0","0.0","338.0","454614.0"
"03_飲食料品","6354.0","83.0","1.0","35291.0","0.0","379.0","86367.0"
"04_繊維製品","1364.0","1245.0","378.0","1304.0","179.0","1124.0","35995.0"
"","","","","","","",""
"05_ﾊﾟﾙﾌﾟ･紙･木製品","2354.0","1065.0","614.0","1935.0","4051.0","664.0","83435.0"
"06_化学製品","50251.0","137.0","930.0","2236.0","202.0","4821.0","209857.0"
"07_石油･石炭製品","1502.0","344.0","381.0","1884.0","0.0","3694.0","165034.0"
"08_窯業･土石製品","492.0","48.0","503.0","718.0","39.0","221.0","48932.0"
"","","","","","","",""
"09_鉄鋼","3.0","0.0","46.0","11.0","0.0","14460.0","525313.0"
"10_非鉄金属","483.0","10.0","114.0","123.0","8.0","145.0","28422.0"
"11_金属製品","134.0","112.0","430.0","707.0","2.0","242.0","69482.0"
"12_一般機械","0.0","0.0","8973.0","242.0","462.0","0.0","57324.0"
"","","","","","","",""
"13_電気機械","22.0","0.0","2464.0","83.0","0.0","0.0","19917.0"
"14_情報・通信機器","9.0","6.0","628.0","38.0","0.0","0.0","2226.0"
"15_電子部品","0.0","0.0","3634.0","0.0","246.0","0.0","27003.0"
"16_輸送機械","0.0","0.0","13196.0","20.0","0.0","0.0","21768.0"
"","","","","","","",""
"17_精密機械","3511.0","2.0","215.0","108.0","0.0","0.0","7672.0"
"18_その他の製造工業製品","2722.0","3194.0","5286.0","3314.0","1527.0","1361.0","119173.0"
"19_建設","1690.0","169.0","533.0","1902.0","0.0","2.0","36073.0"
"20_電力・ガス・熱供給","5236.0","259.0","1153.0","8308.0","0.0","1206.0","99260.0"
"","","","","","","",""
"21_水道・廃棄物処理","4376.0","195.0","333.0","8058.0","0.0","1008.0","42609.0"
"22_商業","22679.0","2326.0","8243.0","23064.0","1958.0","1271.0","258387.0"
"23_金融・保険","5371.0","1113.0","6826.0","5806.0","0.0","2613.0","164235.0"
"24_不動産","2415.0","1199.0","1015.0","4690.0","0.0","496.0","42418.0"
"","","","","","","",""
"25_運輸","8142.0","1747.0","3002.0","12076.0","509.0","3471.0","263697.0"
"26_情報通信","5886.0","4270.0","6873.0","7806.0","0.0","2188.0","126474.0"
"27_公務","0.0","0.0","0.0","0.0","0.0","2563.0","2563.0"
"28_教育・研究","60.0","0.0","339.0","156.0","0.0","1486.0","67145.0"
"","","","","","","",""
"29_医療･保健･社会保障･介護","6934.0","1.0","1.0","14.0","0.0","55.0","7065.0"
"30_その他の公共サ－ビス","458.0","0.0","399.0","1191.0","0.0","954.0","8878.0"
"31_対事業所サ－ビス","18362.0","4672.0","15957.0","11034.0","0.0","1669.0","347974.0"
"32_対個人サ－ビス","5531.0","217.0","236.0","4052.0","0.0","1778.0","14783.0"
"","","","","","","",""
"33_事務用品","1034.0","264.0","351.0","684.0","0.0","138.0","9183.0"
"34_分類不明","1306.0","141.0","781.0","958.0","0.0","0.0","33531.0"
"","","","","","","",""
"","","","","","","",""
"35_内生部門計","160703.0","22928.0","83838.0","144823.0","9183.0","48348.0","3570437.0"
"","","","","","","",""
"","","","","","","",""
"37_家計外消費支出","5410.0","1941.0","4119.0","7577.0","0.0","0.0","132338.0"
"38_雇用者所得","195541.0","33785.0","67637.0","94620.0","0.0","0.0","1583697.0"
"39_営業余剰","21158.0","676.0","16234.0","43357.0","0.0","0.0","794964.0"
"40_資本減耗引当","25221.0","3953.0","20416.0","26550.0","0.0","0.0","643531.0"
"41_間接税(除関税等)","6782.0","1951.0","5310.0","18395.0","0.0","0.0","368130.0"
"42_〔控除〕補助金","-6604.0","-1629.0","-129.0","-25.0","0.0","0.0","-25954.0"
"","","","","","","",""
"","","","","","","",""
"43_粗付加価値部門計","247508.0","40677.0","113587.0","190474.0","0.0","0.0","3496706.0"
"","","","","","","",""
"","","","","","","",""
"44_県内生産額（ＣＴ）","408211.0","63605.0","197425.0","335297.0","9183.0","48348.0","7067143.0"
